S. No.,Flo_District,Flo_Name of the Centre,Flo_Address,Flo_Latitude,Flo_Longitude
79,Anantnag,Frozen Semen Center Kachwan,kachwan,33.700331,75.2871
80,Anantnag,Intensive Cattle Development Salia,Tangmarg(Mush Khasa Rasool Khandi),33.78251,75.28997
81,Anantnag,Frozen Semen Center Dethoo,dethu,33.741704,75.29293
82,Anantnag,Veterinary Hospital Pahalgam,ward no 12,33.94036,75.29621
83,Anantnag,Veterinary Dispensary Brariangan,Brariangan,33.708757,75.30228
84,Anantnag,Mobile Dispensary Vojoora,Wajoora,33.8153381,75.31095
85,Anantnag,Poultry Rearing Space Khayar,Khayar,33.8153381,75.31095
86,Anantnag,Intensive Cattle Development Soaifshali,Soaif Shali,33.63058,75.31283
87,Anantnag,Sub Unit Shangus,Shangus,33.694988,75.31494
88,Anantnag,Sub Unit Wangam,Wagam,33.556768,75.33289
89,Anantnag,Sub Unit Gadool,Gadool,33.577005,75.33838
90,Anantnag,Intensive Cattle Development Sheikhpora,sheikhpora,33.76,75.34
91,Anantnag,Sub Unit Chittergull,Chitergul,33.754308,75.34325
92,Anantnag,Subunit Kapran,KAPRAN,33.4747,75.3538
93,Anantnag,Livestock Development Officer Office Dooru,Dooru Verinag (MC)   Ward No.1,33.47470833,75.3538
94,Anantnag,Sub Unit Bidhard,Bidhard,33.5614988,75.35764
95,Anantnag,Intensive Cattle Development Keherpora,kherpora,33.561696,75.35991
96,Anantnag,Sub Unit Larnoo,Larnoo,33.641362,75.37495
97,Anantnag,Intensive Cattle Development Magam,Magam,33.623691,75.3759
98,Anantnag,Frozen Semen Center Vailoo,Vailoo,33.518795,75.38037
99,Anantnag,Veterinary Dispensary Mathihindoo,Mathindoo,33.674444,75.39306
100,Anantnag,Frozen Semen Center Nowgbugh,Nowbugh,33.694362,75.40487
101,Anantnag,Frozen Semen Center Batkoot,Batkote,33.968284,75.317395
102,Bandipora, Veterinary Assistant Surgeon Aloosa ,Aloosa,34.429325,74.538505
103,Bandipora,First Aid Center Gundjahangir,Gund jahangir,34.266528,74.55027
104,Bandipora,Intensive Cattle Development Shahgund,Shah Gund,34.278714,74.569204
105,Bandipora,Veterinary Assistant Surgeon Quil ,Quil Muqam,34.434152,74.574898
106,Bandipora,Intensive Cattle Development Naidkhai,Naidkhai,34.247349,74.578378
107,Bandipora,Intensive Cattle Development HQ Nowgam,Nowgam,34.209919,74.597468
108,Bandipora,Livestock Development Centre Onagam ,Onagam,34.432624,74.610262
109,Bandipora,Veterinary Assistant Surgeon Qazipora ,Qazipora Putushai,34.422162,74.612615
110,Bandipora,Intensive Cattle Development HQ Baharabad,Baharabad,34.266754,74.615704
111,Bandipora,Intensive Cattle Development HQ Hajin,Ward no. 01,34.290923,74.620283
112,Bandipora,First Aid Center Gadkhud,Gaa Khud,34.18111533,74.6247449
113,Bandipora,Intensive Cattle Development Madvan,Madwan,34.331837,74.624938
114,Bandipora,Intensive Cattle Development Lawaypora ,Lawaypora,34.441062,74.627766
115,Bandipora,First Aid Center Ganstan,Ganastan,34.1868158,74.6376643
116,Bandipora,Disease Investigation Laboratory Bandipora ,Bandipora (MC)   Ward No.5,34.41902,74.64296
117,Bandipora,First Aid Center Chandergeer,Chandergair,34.283865,74.643126
118,Bandipora,Poultry Rearing Space Bandipora ,Bandipora (MC)   Ward No.5,34.419082,74.643207
119,Bandipora,"Veterinary Hospital
 Bandipora ",Bandipora (MC)   Ward No.5,34.419082,74.643207
120,Bandipora,Artificial Breeding Station Bandipora ,Bandipora (MC)   Ward No.5,34.419107,74.643215
121,Bandipora,First Aid Center S.K Bala,Shilvath,34.303584,74.64432
122,Bandipora,LDO/Intensive Cattle Development HQ Sumbal,Main Bazar Sumbal,34.232204,74.646757
123,Bandipora,Disease Investigation Laboratory Sumbal,Main Bazar Sumbal,34.23199,74.646882
124,Bandipora,FSC Sonerwani ,Soner Wani,34.443708,74.647388
125,Bandipora,Intensive Cattle Development Sadunara,Sadhunara,34.320272,74.650241
126,Bandipora,Intensive Cattle Development Nadihal ,Nadihal,34.39363,74.651571
127,Bandipora,First Aid Center Mantrigam ,Mantrigam,34.459196,74.652911
128,Bandipora,Intensive Cattle Development Shilvath,Shilvath,34.203406,74.657918
129,Bandipora,Intensive Cattle Development Gamroo,Gamroo,34.409262,74.659988
130,Bandipora,Frozen Semen Center Trigam,Trigam,34.172374,74.660803
131,Bandipora,First Aid Center Nesbal,Hilalabad Nesbal,34.2471697,74.662688
132,Bandipora,Veterinary Assistant Surgeon Garoora ,Garoora,34.365426,74.664894
133,Bandipora,Livestock Development Centre Bankoot,Bonakoot,34.466847,74.666156
134,Bandipora,Intensive Cattle Development HQ Ajas,Ajas,34.336558,74.667534
135,Bandipora,Intensive Cattle Development HQ Asham,Asham,34.246743,74.678881
136,Bandipora,Sub unit Baghtore ,Baghtore,34.658324,74.682311
137,Bandipora,Intensive Cattle Development Aragam ,Aragam,34.375286,74.68573
138,Bandipora,Veterinary Assistant Surgeon Chittibandy ,Chittibanday,34.379427,74.691455
139,Bandipora,Veterinary Assistant Surgeon Gabpathri ,Shamthan,34.418056,74.694382
140,Bandipora,First Aid Center Kanzalwan ,Kanzalwan,34.645189,74.701206
141,Bandipora,Livestock Development Centre Chilliwan ,Chittibanday,34.375654,74.701699
142,Bandipora,Veterinary Assistant Surgeon Arin,Arin Dard Pora,34.418755,74.701801
143,Bandipora,Livestock Development Centre Chuntimulla ,Chuntimulla,34.40896,74.745228
144,Bandipora,First Aid centre Wanpora,Wanpora,34.63431165,74.80850508
145,Bandipora,HQ Dawar,Dawar ,34.632621,74.834081
146,Bandipora,Poultry Rearing Space  Dawar ,Dawar ,34.632621,74.834081
147,Bandipora,Veterinary Dispensary Aachoora,Achoora,34.633515,74.874083
148,Bandipora,First Aid Center Barnai,Barnai,34.60862,74.952506
149,Bandipora,First Aid Center Sheikpora ,Sheikhpora,34.588868,74.990987
150,Bandipora,First Aid Center Neeru,Neeru,34.570066,75.012251
151,Bandipora,Sub unit  Badugam,Badugam,34.552006,75.064217
152,Bandipora,Sub unit Baduaab,Baduaaab,34.52798,75.171477
153,Baramulla,Sub Unit Kamalkote,Kamalkote,34.132685,73.972597
154,Baramulla,VAC Gohallan,Gohallan,34.056169,73.982116
155,Baramulla,First Aid Centre Sultandaki,Sultandaki,34.115953,73.98343
156,Baramulla,VAC Dachi,Dachi,34.104085,74.024241
157,Baramulla,First Aid Centre Salamabad,Salamabad,34.089952,74.028028
158,Baramulla,Tehsil Unit Uri,Uri,34.079001,74.054572
159,Baramulla,Disease Investigation Laboratory Uri,Uri,34.079001,74.054572
160,Baramulla,"Poultry Rearing Space , Uri",Uri,34.0816037,74.0560692
161,Baramulla,Sub Unit Garkote,Garkote,34.07301,74.064693
162,Baramulla,First Aid Centre Gingal,Gingal,34.132949,74.105827
163,Baramulla,Sub Unit Nambla,Nambla,34.067446,74.109308
164,Baramulla,Sub Unit Noorkhah,Noorkhah,34.164664,74.132273
165,Baramulla,First Aid Centre Boniyar,Boniyar,34.1347432,74.1785214
166,Baramulla,First Aid Centre Pringal,Pringal,34.147567,74.186072
167,Baramulla,Sub Unit Trinkanjan,Trinkanjan,34.10356,74.193906
168,Baramulla,Intensive Cattle Development Nowshera,Nowshera,34.155373,74.224972
169,Baramulla,Sub Unit Dazana,Dazana,34.287708,74.231017
170,Baramulla,First Aid Centre Pehlipora,Pehlipora,34.176585,74.232465
171,Baramulla,First Aid Centre Kangroosa,Kangroosa,34.302671,74.252792
172,Baramulla,Sub Unit Kalantra,Kalantra,34.0826,74.2536
173,Baramulla,Intensive Cattle Development Zehanpora,Zehanpora,34.187362,74.262856
174,Baramulla,First Aid Centre Hachipora,Hachipora,34.299282,74.280253
175,Baramulla,Sub Unit Khahmoh,Khahmoh,34.2441576,74.2841364
176,Baramulla,Sub Unit Panzulla,Panzulla,34.276246,74.291021
177,Baramulla,Sub Unit Sheeri,Sheeri,34.185454,74.314068
178,Baramulla,First Aid Centre Waripora,Waripora,34.306745,74.317158
179,Baramulla,First Aid Centre Audoora,Audoora,34.153341,74.321905
180,Baramulla,Frozen Semen Centre Fatehgarh,Fatehgarh,34.177852,74.322038
181,Baramulla,Sub Unit Shitloo,Shitloo,34.2592566666666,74.324575
182,Baramulla,Intensive Cattle Development Rawoocha,Rawoocha,34.311058,74.326015
183,Baramulla,VD Sangri,Sangri,34.186463,74.338982
184,Baramulla,District Veterinary Hospital Baramulla,Baramulla,34.206472,74.340278
185,Baramulla,Disease Investigation Laboratory Baramulla,Baramulla,34.206269,74.340323
186,Baramulla,Intensive Cattle Development Dangiwacha,Dangiwacha,34.319855,74.348936
187,Baramulla,Intensive Cattle Development Binner,Binner,34.239354,74.348987
188,Baramulla,Sub Unit Rohama,Rohama,34.2741894,74.3554544
189,Baramulla,Intensive Cattle Development Khawajabagh,Khawajabagh,34.216447,74.368879
190,Baramulla,Sub Unit Zaloora,Zaloora,34.408022,74.370942
191,Baramulla,Intensive Cattle Development Nadihal,Nadihal,34.256308,74.372137
192,Baramulla,Intensive Cattle Development Watergam,Watergam,34.317594,74.372357
193,Baramulla,Sub Unit Chandoosa,Chandoosa,34.153213,74.37626
194,Baramulla,Poultry Rearing Space Khawajabagh,Khawajabagh,34.215008,74.37718
195,Baramulla,First Aid Centre Hadipora,Hadipora,34.293867,74.391278
196,Baramulla,Intensive Cattle Development Ladoora,Ladoora,34.256251,74.397085
197,Baramulla,Sub Unit Uplina,Uplina,34.200365,74.399064
198,Baramulla,Intensive Cattle Development Wadoora,Wadoora,34.344083,74.399816
199,Baramulla,"layer Poultry farm, Achabal",Achabal,34.27528,74.40197
200,Baramulla,"Modern Hatchery, Achabal",Achabal,34.27528,74.40197
201,Baramulla,frozen semen centre Tujjar,Tujjar,34.375813,74.402154
202,Baramulla,Intensive Cattle Development Achabal,Achabal,34.2794766666666,74.4044166666666
203,Baramulla,Intensive Cattle Development Behrampora,Behrampora,34.331917,74.405783
204,Baramulla,Intensive Cattle Development Hudipora,Hudipora,34.173116,74.409826
205,Baramulla,Sub Unit HAJIBAL,HAJIBAL,34.096458,74.410014
206,Baramulla,Intensive Cattle Development Doabah,Doabah,34.266522,74.41036
207,Baramulla,VD Singhpora kalan,Singhpora kalan,34.208805,74.416333
208,Baramulla,Frozen Semen Centre Managam,Managam,34.154383,74.419508
209,Baramulla,Intensive Cattle Development Seelu,Seelu,34.329907,74.419665
210,Baramulla,Intensive Cattle Development Delina,Delina,34.239079,74.420063
211,Baramulla,Intensive Cattle Development Bomai,Bomai,34.367601,74.423752
212,Baramulla,Intensive Cattle Development Rebban,Rebban,34.2984005,74.4248996
213,Baramulla,First Aid Centre KAKOWTHAL,KAKOWTHAL,34.140542,74.426844
214,Baramulla,Sub Unit TANGMARG,TANGMARG,34.062933,74.427389
215,Baramulla,First Aid Centre HARD ICHLOO,HARD ICHLOO,34.105997,74.437615
216,Baramulla,VD Chinad,Chinad,34.238211,74.438201
217,Baramulla,Intensive Cattle Development KHAIPORA,KHAIPORA,34.131606,74.441722
218,Baramulla,Sub Unit WATERGAM,WATERGAM,34.171408,74.442742
219,Baramulla,Intensive Cattle Development Seer,Seer,34.257102,74.44366
220,Baramulla,Intensive Cattle Development Nowpora,Nowpora,34.216108,74.448716
221,Baramulla,Frozen Semen Centre CHANDILOORA,CHANDILOORA,34.07283,74.451247
222,Baramulla,Intensive Cattle Development Shiva,Shiva,34.374174,74.451744
223,Baramulla,First Aid Centre BADERKOTE,BADERKOTE,34.041407,74.457506
224,Baramulla,First Aid Centre SALOOSA,SALOOSA,34.195057,74.462037
225,Baramulla,Intensive Cattle Development Sopore,Sopore,34.286326,74.462737
226,Baramulla,Tehsil Unit Sopore,Sopore,34.286347,74.462991
227,Baramulla,Disease Investigation Laboratory Sopore,Sopore,34.286347,74.462991
228,Baramulla,Sub Unit Duroo,Duroo,34.349874,74.46486
229,Baramulla,Intensive Cattle Development Dangerpora,Dangerpora,34.329072,74.46637
230,Baramulla,Intensive Cattle Development Rampora Rajpora,Rampora Rajpora,34.411937,74.466782
231,Baramulla,Intensive Cattle Development AUTHOORA,Authoora,34.212246,74.467344
232,Baramulla,Intensive Cattle Development Arampora,Arampora,34.289462,74.474075
233,Baramulla,Intensive Cattle Development KREERI,kreeri,34.170894,74.476639
234,Baramulla,Sub Unit WAILOO,WAILOO,34.125541,74.477565
235,Baramulla,Intensive Cattle Development KRALWETH,KRALWETH,34.102547,74.480267
236,Baramulla,Intensive Cattle Development Warpora,Warpora,34.335839,74.480603
237,Baramulla,Intensive Cattle Development Krankshivan,Krankshivan,34.250547,74.481314
238,Baramulla,Frozen Semen Centre Tilgam,Tilgam,34.151439,74.481319
239,Baramulla,First Aid Centre GOGALDARA,GOGALDARA,34.01992,74.48156
240,Baramulla,Frozen Semen Centre KUNZER,KUNZER,34.080643,74.496773
241,Baramulla,Intensive Cattle Development Boocho,Boocho,34.213048,74.497944
242,Baramulla,Intensive Cattle Development Tarzoo,Tarzoo,34.269429,74.498109
243,Baramulla,Intensive Cattle Development Botingoo,Botingoo,34.367177,74.501873
244,Baramulla,Intensive Cattle Development Hygam,Hygam,34.245692,74.502332
245,Baramulla,Frozen Semen Centre Takiya Tapper,Takiya Tapper,34.205844,74.504983
246,Baramulla,Frozen Semen Centre OGMUNA,OGMUNA,34.065256,74.511557
247,Baramulla,Intensive Cattle Development Wanigam,Wanigam,34.172457,74.511562
248,Baramulla,Intensive Cattle Development YALL,YALL,34.120355,74.516286
249,Baramulla,Intensive Cattle Development Rakhi Hygam,Rakhi Hygam,34.260916,74.523386
250,Baramulla,Intensive Cattle Development Nihalpora,Nihalpora,34.147995,74.527741
251,Baramulla,Intensive Cattle Development Andergam,Andergam,34.20387,74.528066
252,Baramulla,First Aid Centre Check Sari,Check Sari,34.13863,74.529564
253,Baramulla,Intensive Cattle Development HARD ABOORA,HARD ABOORA,34.05648599,74.53469653
254,Baramulla,Intensive Cattle Development DHOBIWAN,DHOBIWAN,34.09024,74.544451
255,Baramulla,Intensive Cattle Development Palhallan,Palhallan,34.18517,74.545998333333
256,Baramulla,Intensive Cattle Development Goshbugh,Goshbugh,34.22234216,74.55020524
257,Baramulla,Sub Unitb Unit Pattan,Pattan,34.156706,74.557067
258,Baramulla,Pattan Lab,Pattan,34.156706,74.557067
259,Baramulla,Sub Unitb Unit Shirpora,Shirpora,34.135284,74.562991
260,Baramulla,Intensive Cattle Development Khore,Khore,34.133113,74.57597
261,Baramulla,Intensive Cattle Development Hanjiwara,Hanjiwara,34.138421,74.587145
262,Baramulla,Frozen Semen Centre G.K.Qasim,G.K.Qasim,34.125673,74.606406
263,Baramulla,Intensive Cattle Development Singhpora,Singhpora,34.151143,74.610455
264,Baramulla,Frozen Semen Centre Nooripora,Nooripora,34.104891,74.612487
265,Baramulla,Intensive Cattle Development Matipora,Matipora,34.139138,74.619
266,Baramulla,Intensive Cattle Development Khanpeth,Khanpeth,34.15806,74.623666
267,Baramulla,Sub Unitb Unit Mirgund,Mirgund,34.135383,74.661681
268,Budgam,Frozen Semen Centre Bundagam,Bundgam,34.033456,74.3842
269,Budgam,Sub Unit Poshker,Poshkar,34.026706,74.508432
270,Budgam,Sub Unit Khag,Khag,34.001756,74.528934
271,Budgam,Frozen Semen Centre Shonglipora,Shunglipora,33.970123,74.54468
272,Budgam,Sub Unit Drung,Drang,33.958635,74.547945
273,Budgam,Intensive Cattle Development Palpora,Palpora,34.051548,74.547984
274,Budgam,Intensive Cattle Development Sub Unitresh,Hardsuresh,34.028512,74.549441
275,Budgam,Intensive Cattle Development Dasan,Dasan,33.9256,74.5566
276,Budgam,First Aid Centre Ichihama,Ichoihama,34.025866,74.565917
277,Budgam,Frozen Semen Centre Iskander,Iskanderpora,34.029405,74.567016
278,Budgam,First Aid Centre Lalpora,Lalpora,34.007155,74.574094
279,Budgam,Intensive Cattle Development Aripanthan,Aripathan,34.059278,74.576929
280,Budgam,First Aid Centre Zanigam,Zanigam /SAIL,33.96235,74.58075
281,Budgam,Sub Unit Kandoora,Kandoora,33.994022,74.585321
282,Budgam,Sub Unitb Unit Zoogu Khairen,Zoogu khrain,33.92701,74.585765
283,Budgam,Intensive Cattle Development Magam,Magam,34.09192904,74.58585676
284,Budgam,Frozen Semen Centre Raiyar,Raiyar,33.92307,74.58588
285,Budgam,Tehsil Unit Beerwah,Beerwah,34.019116,74.588374
286,Budgam,Intensive Cattle Development RathSub Unitn,Rathsun,34.056184,74.599879
287,Budgam,Intensive Cattle Development Sonapah,Sonapah,34.011513,74.60414
288,Budgam,Intensive Cattle Development Najan,Najan,33.994347,74.606708
289,Budgam,First Aid Centre Zabigulla,Zabigullah,33.964687,74.609398
290,Budgam,Sub Unitb Unit Rawalpora,Rawalpora,33.947043,74.612582
291,Budgam,Sub Unit Gundipora,Gundipora,34.017804,74.622463
292,Budgam,Intensive Cattle Development Mazhama,Mazhama,34.101701,74.62377
293,Budgam,Intensive Cattle Development Raziwen,Razwen,34.08488,74.628316
294,Budgam,Livestock Development Mujhpathri,Mujipathri/RAITHEN,33.88178,74.629826
295,Budgam,First Aid Centre Charangam,Chrangam,34.026367,74.64169
296,Budgam,Intensive Cattle Development Kawoosa,Kawooaa Khalisa,34.10242,74.645743
297,Budgam,Sub Unitb Unit Watrehail,Watrehail,33.98604,74.65095
298,Budgam,Sub Unitb Unit Watred,Watred,33.903053,74.656936
299,Budgam,Frozen Semen Centre Raithan,Raithan,33.918026,74.65889
300,Budgam,Sub Unitb Unit Khansahib,Khansahib,33.931626,74.659298
301,Budgam,Intensive Cattle Development Narbal,Narbal,34.11537,74.663842
302,Budgam,Livestock Development Brenwar,Brenwar,33.881713,74.667382
303,Budgam,Frozen Semen Centre Wadwan,wadwan,34.0780501,74.66781579
304,Budgam,Frozen Semen Centre sholipora,SHOOLIPORA,34.013072,74.668439
305,Budgam,Sub Unit .Garend khurd,GARIEND KHURD,34.051299,74.684304
306,Budgam,Frozen Semen Centre Jawalapora,JAWALAPORA,33.992608,74.686333
307,Budgam,Livestock Development Gogjipathri,Gogjipathri,33.860658,74.687324
308,Budgam,Intensive Cattle Development Arigam,Arigam,33.927094,74.68743
309,Budgam,First Aid Centre Shamasabad,Shamasabad,33.942065,74.68743
310,Budgam,Livestock Development Nagbal,Nagbal,33.817934,74.688528
311,Budgam,Livestock Development Braripathri,Barari Pathri,33.83586,74.700967
312,Budgam,First Aid Centre Falchal,Falchal,33.970714,74.704789
313,Budgam,Sub Unit soibug,SOIBUG,34.075419,74.708628
314,Budgam,Intensive Cattle DevelopmentNSPORA,NASRULLAHPORA,34.075419,74.708628
315,Budgam,Sub Unitb Unit Kremshore,Kremshore,33.953144,74.718526
316,Budgam,First Aid Centre Handjan,Handjan,33.982084,74.71913
317,Budgam,Poultry Rearing Space Budgam,Budgam,34.017611,74.720275
318,Budgam,District Investigation Lab,Budgam,34.017611,74.720275
319,Budgam,Sub Unitb Unit Parnewa,Parnewa,33.977524,74.725301
320,Budgam,Sub Unit Dadompora,Dadompora,33.906864,74.726574
321,Budgam,Sub Unitbunit choon,CHOON,33.988512,74.730182
322,Budgam,Livestock Development Watakuloo,Watakloo,33.868665,74.73538
323,Budgam,Intensive Cattle Development durbal,DURBAL,34.080561,74.741185
324,Budgam,Sub Unit Wagam,Wagam,33.950794,74.744296
325,Budgam,First Aid Centre Hafroo,Hapro Batapora,33.8768,74.7449
326,Budgam,Sub Unit Bemina,BEMINA,34.053068,74.747656
327,Budgam,Sub Unitb Unit Ichgam,ICHGAM,33.987821,74.753274
328,Budgam,First Aid Centre humhama,HUMHAMA,34.028037,74.75406
329,Budgam,First Aid Centre Ranger,Ranger,33.939369,74.757172
330,Budgam,Sub Unit Zoohama,Zooham Khandaypora,33.906678,74.757583
331,Budgam,Sub Unitb Unit Nowpora,Nowpora,33.9094,74.7576
332,Budgam,Frozen Semen Centre Pakherpora,Pakherpora,33.8201732,74.759602
333,Budgam,Intensive Cattle Development Narkara,NARKARA,34.04586,74.760027
334,Budgam,Sub Unit Chrarisharief,Chrari Sharief (MC)   Ward No.07,33.8611,74.7697
335,Budgam,SC Hanjoora,Hanjoora,33.943379,74.770463
336,Budgam,First Aid Centre Sogam,Sogam,33.929336,74.774413
337,Budgam,Intensive Cattle Development Panzan,Panzen,33.961967,74.774851
338,Budgam,First Aid Centre Badipora,Badi Pora,33.919502,74.775928
339,Budgam,Livestock Development Chraripora,Chararipora,33.824898,74.783031
340,Budgam,Intensive Cattle Development GopaliSaif,Gopalsaif,33.94949,74.791566
341,Budgam,Intensive Cattle Development Nagam,Nagam   ,33.924047,74.795328
342,Budgam,Tehsil Unit Chadoora ,Chadoora (MC) Ward No.12,33.943624,74.799738
343,Budgam,Intensive Cattle Development KRALPORA,KRALPORA,33.997,74.813
344,Budgam,Sub Unit B K PORA,BK Pora/kanipora,34.0071,74.8271
345,Budgam,Sub Unit Bugam,Bugam Batapora,33.955589,74.835169
346,Budgam,Sub Unit WADIPORA,WADIPORA,33.926,74.838
347,Budgam,Intensive Cattle Development WAGOORA,WAGOORA,33.985,74.864
348,Budgam,First Aid Centre KHANDA,KHANDA,33.971,74.868
349,Budgam,Sub Unit PAHROO,Pahroo,33.993,74.875
350,Budgam,Frozen Semen Centre RAKHSHALINA,RAKHSHALINA,34.017,74.887
351,Budgam,Intensive Cattle Development Hayatpora,Hayatpora,33.911474,74.911474
